id,date,time,site_name,samplers,photo_taken,site_conditions,site_notes,river_height_feet,"Appomattox River at Matoaca, VA - 02041650"
20240320_Fleets Branch,20240320,1530,Fleets Branch,"MW, NK, JH",1,"sunny, windy",lots of algae on the rocks,3.51,
20240320_Harvell Dam,20240320,1500,Harvell Dam,"MW, NK, JH",1,"sunny, windy",,3.53,
20240320_Rapids Site,20240320,1645,Rapids Site,"MW, NK, JH",1,"sunny, windy",,3.5,
20240320_Tidal Site,20240320,1755,Tidal Site,"MW, NK, JH",1,"sunny, windy",,3.45,
20240403_Brickhouse Run,20240403,1550,Brickhouse Run,MW,1,"cloudy, rainy",tornado warning and incoming rain,4.5,
20240403_Fleets Branch,20240403,1520,Fleets Branch,MW,1,"cloudy, rainy",morning rain and tornado warning,4.5,
20240410_Fleets Branch,20240410,1435,Fleets Branch,"MW, JH",1,"warm, overcast",river level low,3.93,
20240410_Harvell Dam,20240410,1440,Harvell Dam,"MW, JH",1,"warm, overcast",river level low,3.93,
20240417_Fleets Branch,20240417,1435,Fleets Branch,"MW, KA, NC, JH, MJ",1,"partly sunny, humid",,4.81,
20240417_Harvell Dam,20240417,1450,Harvell Dam,"MW, KA, NC, JH, MJ",1,"partly sunny, humid",,4.81,
20240424_Fleets Branch,20240424,1405,Fleets Branch,"MW, JH",1,partly sunny,,3.06,
20240424_Harvell Dam,20240424,1415,Harvell Dam,"MW, JH",1,partly sunny,,3.06,
20240425_Brickhouse Run,20240425,1141,Brickhouse Run,"MW, NJ",1,"partly sunny, cool",,3.12,
20240425_Willcox Dam,20240425,1115,Willcox Dam,"MW, NJ",1,"partly sunny, cool",,3.12,
20240501_Fleets Branch,20240501,950,Fleets Branch,"NC, NJ",1,"sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,2.81,
20240501_Harvell Dam,20240501,1012,Harvell Dam,"NC, NJ",1,"sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,2.81,
20240508_Fleets Branch,20240508,1337,Fleets Branch,NJ,1,"Sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,4.28,
20240508_Harvell Dam,20240508,1354,Harvell Dam,NJ,1,"Sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,4.28,
